,funding_total_usd,milestones,web,biotech,active_days,isClosed,funding_per_active_day,PC1,PC2,PC3,PC4,PC5,PC6,PC7,status
63,11510000.0,4.0,0,0,4748,1,2424.18,-0.9321329519385296,3.1547228320004477,-0.6411208703155562,-0.9982023680693923,-1.1104431807290347,1.7554057840094681,-0.09339028284176631,1
64,8000000.0,1.59,0,0,6209,1,1288.45,-0.775068685749867,0.21698169065421488,-0.08731083409469168,0.2584994200637963,-0.39584585253317267,-0.30462811794809896,0.06800603433085442,1
65,4000000.0,1.0,0,0,6574,1,608.46,-0.5168123144285284,-0.7446458604667407,-0.06502840800283041,0.6203206833972207,-0.14195740052664277,-0.5385541470570205,0.3423284751435206,1
66,20000.0,1.59,0,0,5113,1,3.91,0.06000500190195226,-0.4223815718928829,-0.32438759814842727,0.29682578723352765,-0.2693144037299741,0.467554448087048,0.35019172068020804,1
67,5694085.0,1.0,0,0,4383,1,1299.13,-0.09236947122053318,-0.6589538363298959,0.09807703802922606,0.39840601252425406,-0.32961438783543856,-0.5164605424204607,-0.4011848738613925,1
68,1200000.0,1.0,0,0,3652,1,328.59,0.40608157080623036,-1.0215936158122139,-0.03077072783721093,0.40938098211930285,-0.26596673029735185,-0.07309461166772765,-0.274381449481961,1
69,811057.0,1.0,0,0,5113,1,158.63,0.07084677227065322,-1.0213614077087834,-0.11243162902369659,0.5451585549983279,-0.15929099653336803,-0.15155767913580884,0.16653609517283832,1
70,100000.0,2.0,0,1,10957,1,9.13,-2.462745363134942,-0.5392329175054996,0.9280528837201191,-1.3194063493562873,2.057653933321342,1.2619980842840193,1.8726195714503586,4
71,2454.0,1.0,1,0,4017,1,0.61,1.4162478642521632,0.10928807519328076,-1.1243209634557207,1.0101031807196976,2.3618735863979587,-0.7316066940577661,-0.4241071554949115,1
72,7843200.0,2.0,0,0,7305,1,1073.68,-1.0824219707858578,0.6862243249294698,-0.271394546179311,0.1759739425153136,-0.4093982083909634,0.007611726308838259,0.4756487551079822,1
73,100000.0,1.0,0,0,4017,1,24.89,0.3930545982517497,-1.0991026956593264,-0.08755264771572742,0.46010330764070057,-0.2142954261317462,-0.006296463093912052,-0.08992524035945043,1
74,2309232.0,1.0,0,0,7670,1,301.07,-0.6695760284086988,-0.8525279044465238,-0.17660672744740213,0.7460129276253226,-0.026983772464407568,-0.4767198121439321,0.7767651505010845,1
75,4000000.0,2.0,0,0,4017,1,995.77,0.005034408181154669,0.3213717232387128,-0.25698606744114255,-0.04888677986945402,-0.5315643473245624,0.5914025072039157,-0.16695968530305974,1
76,5200000.0,1.59,0,0,5478,1,949.25,-0.39603477901748313,-0.014465869801598379,-0.15425374484270368,0.24150137661991125,-0.37442063834881084,-0.007051478720295686,0.0693090022358734,1
